LAT,LONG,OBJECTID,PROVINCE,DISTRICT,SECTOR,CELL,VILLAGE,NAME,TYPE,SOURCE,CAPTURE
-2.071861111,29.937166667,921,SOUTH,KAMONYI,NYAMIYAGA,NGOMA,BUHORO,G.S MATABA,Primary,Ministry of education,2015
-2.048416667,29.897861111,922,SOUTH,KAMONYI,NYAMIYAGA,KIDAHWE,NYAMIYAGA,G.S NYAMIYAGA,Primary,Ministry of education,2015
-2.12425,29.913416666,923,SOUTH,KAMONYI,NYAMIYAGA,MUKINGA,KAYENZI,E.P MUKINGA,Primary,Ministry of education,2015
-2.096833333,29.912527778,924,SOUTH,KAMONYI,NYAMIYAGA,BIRUNGO,NKIMBIRI,E.P BIBUNGO,Primary,Ministry of education,2015
-1.893611111,29.799222222,925,SOUTH,KAMONYI,KAYENZI,NYAMIRAMA,BUSHARA,E.P BUSHARA,Primary,Ministry of education,2015
-1.908361112,29.820888889,926,SOUTH,KAMONYI,KAYENZI,KAYONZA,KIGWENE,E.P KAYONZA,Primary,Ministry of education,2015
-1.889,29.837722223,927,SOUTH,KAMONYI,KAYENZI,CUBI,GITWA,E.P MURAMBI,Primary,Ministry of education,2015
-1.895777778,29.8525,928,SOUTH,KAMONYI,KAYENZI,MATABA,GASASA,E.P GISHUBI,Primary,Ministry of education,2015
-2.061611111,29.855138889,929,SOUTH,KAMONYI,MUSAMBIRA,CYAMBWE,RUVUMURA,E.P ST DON BOSCO CYAMBWE,Primary,Ministry of education,2015
-2.048722222,29.866166667,930,SOUTH,KAMONYI,MUSAMBIRA,CYAMBWE,SHAKA,E.S SHAKA,Primary,Ministry of education,2015
-2.108722222,29.947694445,931,SOUTH,KAMONYI,MUGINA,MBATI,MBATI,E.P MUGINA B,Primary,Ministry of education,2015
-2.097555556,29.954888889,932,SOUTH,KAMONYI,MUGINA,MBATI,MBATI,INGENZI MBATI PRIMARY SCHOOL,Primary,Ministry of education,2015
-1.966111111,29.805916667,933,SOUTH,KAMONYI,KAYUMBU,BUSORO,NYABUHORO,E.P NTONDE,Primary,Ministry of education,2015
-1.952055556,29.801472222,934,SOUTH,KAMONYI,KAYUMBU,GIKO,RYAMANYWA,E.P GIKO PROTESTANT,Primary,Ministry of education,2015
-1.977,29.808416667,935,SOUTH,KAMONYI,KAYUMBU,BUSORO,NYARUGENGE,RUTOBWE PRIMARY SCHOOL,Primary,Ministry of education,2015
-1.928333333,29.938444444,936,SOUTH,KAMONYI,RUKOMA,MUREHE,MUBUGA,E.P MUREHE PROTESTANT,Primary,Ministry of education,2015
-1.941138889,29.927166667,937,SOUTH,KAMONYI,RUKOMA,MUREHE,KAMUZI,E.P KAMUZI,Primary,Ministry of education,2015
